PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Single Family Residential,122 Farm St,Dover,MA,2030,2995000,4.0,6.0,Historic Farm St.,7895.0,227862.0,2014.0,1,379.0,0.0,42.227328299999996,-71.32523559999998,59,"(2950000, 3000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,108 Robincrest Ct,Seekonk,MA,2771,559000,3.0,2.0,Seekonk,2000.0,83635.0,2002.0,1,280.0,0.0,41.8768777,-71.3106437,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,253 Parkerville Rd #11,Southborough,MA,1772,679900,2.0,2.5,Southborough,2190.0,34412.83286228294,2019.0,1,310.0,345.0,42.266989,-71.536962,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,1 South St,Upton,MA,1568,506900,4.0,3.0,Upton,3018.0,81222.0,1988.0,1,168.0,0.0,42.158057799999995,-71.60343449999999,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,41 Mcandrew Rd,Braintree,MA,2184,529900,3.0,2.0,Braintree,1812.0,15002.0,1976.0,1,292.0,0.0,42.1816727,-70.98679150000001,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,253 Parkerville Rd #1,Southborough,MA,1772,649900,2.0,2.5,Southborough,2190.0,34412.83286228294,2020.0,1,297.0,345.0,42.266989,-71.536962,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Single Family Residential,28 Longfellow Rd,Wellesley,MA,2481,1375000,5.0,5.5,Wellesley,3926.0,20491.0,1898.0,1,350.0,0.0,42.3176792,-71.26274659999999,27,"(1350000, 1400000]",8,"(1099960.0, 1582000.0]"
Multi-Family (2-4 Unit),26-28 Hano St,Boston,MA,2134,895000,5.0,2.0,Allston,2102.0,1523.0,1890.0,1,426.0,0.0,42.355971999999994,-71.136914,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,193 Randolph St,Weymouth,MA,2190,375000,3.0,1.0,South Weymouth,1199.0,13939.0,1923.0,1,313.0,0.0,42.1699416,-70.9678917,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,29 Elizabeth Ln,Peabody,MA,1960,485000,3.0,1.0,West Peabody,1352.0,15002.0,1960.0,1,359.0,0.0,42.5627478,-71.03220309999999,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Single Family Residential,543 Lexington St,Waltham,MA,2452,699900,3.0,1.5,Piety Corner,2142.0,6011.0,1935.0,1,327.0,0.0,42.3942954,-71.23673640000001,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,181 Shining Rock Dr,Northbridge,MA,1534,849900,5.0,3.5,Shining Rock Golf Community,5300.0,29228.0,2005.0,1,160.0,0.0,42.1535937,-71.64272199999999,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
Townhouse,91 Clarendon Ave #2,Somerville,MA,2144,1325000,3.0,2.5,Davis Square,2026.0,32177.410927075893,2019.0,1,654.0,0.0,42.4011562,-71.13081,26,"(1300000, 1350000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,738 N Cary St,Brockton,MA,2302,429900,5.0,2.5,Brockton,2046.0,31887.0,1925.0,1,210.0,0.0,42.1083361,-70.99906109999999,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,180 Hayden Rowe St,Hopkinton,MA,1748,799900,4.0,4.0,Hayden Row,3200.0,40119.0,1800.0,1,250.0,0.0,42.206386,-71.5117592,15,"(750000, 800000]",7,"(777000.0, 1099960.0]"
Single Family Residential,46 Walnut Ter,Avon,MA,2322,369000,3.0,1.0,Avon,1408.0,11000.0,1955.0,1,262.0,0.0,42.126483,-71.0485,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Multi-Family (2-4 Unit),31 Mulberry St,Attleboro,MA,2703,289900,4.0,2.0,Attleboro,2270.0,10000.0,1900.0,1,128.0,0.0,41.934759,-71.28190699999999,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,226 Blue Hill Ave,Milton,MA,2186,475000,4.0,1.5,Milton,1450.0,4861.0,1929.0,1,328.0,0.0,42.2576054,-71.0979437,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,558 Pleasant St,Franklin,MA,2038,399900,3.0,1.5,Franklin,1661.0,20399.0,1957.0,1,241.0,0.0,42.1013229,-71.3791206,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Condo/Co-op,200 Martins Lndg #411,North Reading,MA,1864,474999,2.0,2.0,North Reading,1326.0,22635.97583777751,2018.0,1,358.0,345.0,42.573,-71.1292,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Condo/Co-op,8 Sanborn St #4010,Reading,MA,1867,679900,2.0,2.0,Reading,1055.0,18942.077396063418,2020.0,1,644.0,275.0,42.5237415,-71.1044207,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,13 Clarendon Rd,Auburn,MA,1501,109900,2.0,1.0,Pakachoag Hill,891.0,8202.0,1940.0,1,123.0,0.0,42.2154666,-71.82477440000001,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,29 Avon Pl,Arlington,MA,2474,1200000,4.0,2.0,Arlington Center,2028.0,6762.0,1865.0,1,592.0,0.0,42.4123062,-71.15100190000001,23,"(1150000, 1200000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,306 Commonwealth Ave #5,Boston,MA,2116,1399000,2.0,1.5,Back Bay,1088.0,19391.887907416058,1886.0,1,1286.0,612.0,42.3494355,-71.0854927,27,"(1350000, 1400000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,201 W Brookline St #204,Boston,MA,2118,4050000,3.0,3.5,South End,2756.0,42127.76466305849,2018.0,1,1470.0,1183.0,42.3435255,-71.0764028,80,"(4000000, 4050000]",9,"(1582000.0, 11000000.0]"
Townhouse,321 Bishops Forest Dr #321,Waltham,MA,2452,639900,2.0,2.5,Waltham,2010.0,31959.320982177644,1989.0,1,318.0,499.0,42.3996758,-71.22636390000001,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
