PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Condo/Co-op,16 Baldwin Dr #16,Sharon,MA,2067,645000,2.0,2.5,Sharon,2893.0,43995.15981624975,1997.0,3,223.0,871.0,42.140203,-71.178021,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Single Family Residential,680 N Main St,Mansfield,MA,2048,594000,4.0,2.5,Mansfield,2241.0,10045.0,2020.0,3,265.0,0.0,42.0412984,-71.21639470000001,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,102 Williams St #2,Boston,MA,2130,519000,2.0,1.0,Jamaica Plain,838.0,15984.23251838092,1905.0,3,619.0,121.0,42.305128,-71.1058231,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,91 Dexter Rd,Melrose,MA,2176,525000,3.0,2.0,Melrose,1658.0,7060.0,1956.0,3,317.0,0.0,42.444721200000004,-71.03870340000002,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Townhouse,23 Cleary Cir #13,Norfolk,MA,2056,519900,2.0,2.5,Norfolk,1872.0,30078.29520743025,2020.0,3,278.0,200.0,42.1208961,-71.32305490000002,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,9 Independence Ave #302,Braintree,MA,2184,589000,2.0,2.0,Braintree,1352.0,22990.371998237162,2018.0,3,436.0,200.0,42.230569,-71.005622,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Townhouse,173 Main St #1,Maynard,MA,1754,439000,3.0,2.5,Maynard,2100.0,13000.0,2020.0,3,209.0,230.0,42.43091,-71.45970600000001,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,281 Taylor Rd,Stow,MA,1775,849900,3.0,2.5,Stow,2875.0,277913.0,2004.0,3,296.0,0.0,42.4597978,-71.5227996,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
Single Family Residential,59 LIncoln St,Waltham,MA,2451,1590000,5.0,5.5,Piety Corner,7252.0,35676.0,1925.0,3,219.0,0.0,42.3931223,-71.23995009999999,31,"(1550000, 1600000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,50 Garden Pkwy,Norwood,MA,2062,549900,3.0,2.0,Norwood,1738.0,12500.0,1960.0,3,316.0,0.0,42.175687599999996,-71.2287892,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,50 Collins St,Attleboro,MA,2703,292500,2.0,1.5,Attleboro,1238.0,10000.0,1900.0,3,236.0,0.0,41.8982451,-71.36715190000001,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Condo/Co-op,9 Woodward Park St #1,Boston,MA,2125,565000,3.0,2.0,Boston,1732.0,4669.0,1905.0,3,326.0,0.0,42.3187125,-71.0724566,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,25 McGregory Rd,Sturbridge,MA,1566,379900,4.0,2.0,Sturbridge,2770.0,31798.0,1956.0,3,137.0,0.0,42.0938984,-72.0632275,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,11 Burditt Rd,North Reading,MA,1864,329900,2.0,1.0,North Reading,1072.0,12197.0,1951.0,3,308.0,0.0,42.566225200000005,-71.1103385,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,44 Nevada Rd,Needham,MA,2494,2295000,6.0,6.0,Needham,5200.0,10019.0,2019.0,3,441.0,0.0,42.2937439,-71.22270970000001,45,"(2250000, 2300000]",9,"(1582000.0, 11000000.0]"
Multi-Family (2-4 Unit),243 Washington St,Reading,MA,1867,639900,4.0,3.0,Reading,2400.0,6820.0,1940.0,3,267.0,0.0,42.52117379999999,-71.0975723,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Single Family Residential,1114 West St,Wrentham,MA,2093,489000,3.0,2.5,Wrentham,1956.0,29185.0,1845.0,3,250.0,0.0,42.03373920000001,-71.39064809999999,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Condo/Co-op,27-1 Arlington Rd #3,Woburn,MA,1801,319900,2.0,1.0,Woburn,864.0,16338.628678840576,1965.0,3,370.0,397.0,42.475491600000005,-71.1562184,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,7 CAPE CLUB Dr,Sharon,MA,2067,849000,2.0,2.5,The Cape Club of Sharon Golf Course,2800.0,42727.51201152868,2019.0,3,303.0,468.0,42.152608,-71.183219,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
Condo/Co-op,280 Boylston St #312,Newton,MA,2467,499000,1.0,1.5,Chestnut Hill,1060.0,19010.230503844123,1970.0,3,471.0,727.0,42.3187,-71.1786406,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Condo/Co-op,144 Hart St #36,Taunton,MA,2780,162900,2.0,1.0,Taunton,920.0,17101.943485984448,1987.0,3,177.0,425.0,41.8862549,-71.0653081,3,"(150000, 200000]",0,"(49899.999, 255980.0]"
Single Family Residential,23 Harrison Ave,Auburn,MA,1501,250000,3.0,2.0,Auburn,1350.0,13299.0,1986.0,3,185.0,0.0,42.204335799999996,-71.83135290000001,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Single Family Residential,373 Hartford Ave,Bellingham,MA,2019,400000,3.0,2.0,Plymouth Village,2041.0,12225.0,1964.0,3,196.0,0.0,42.124519,-71.4546343,7,"(350000, 400000]",3,"(399900.0, 480000.0]"
Single Family Residential,187 Washington St,Canton,MA,2021,459000,3.0,1.0,Canton,1224.0,9069.0,1952.0,3,375.0,0.0,42.1435801,-71.1488667,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,28 MC KINLEY,Worcester,MA,1605,309900,3.0,2.0,Worcester,1600.0,3437.0,2020.0,3,194.0,0.0,42.282739899999996,-71.789211,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Multi-Family (2-4 Unit),43 - 45 Lincoln St,Watertown,MA,2472,1090000,7.0,3.0,Watertown,3014.0,9857.0,1910.0,3,362.0,0.0,42.367843,-71.1725852,21,"(1050000, 1100000]",7,"(777000.0, 1099960.0]"
Single Family Residential,25 Rocky Brook Rd,Dover,MA,2030,922500,4.0,3.0,Dover,3530.0,49136.0,1969.0,3,261.0,0.0,42.2235239,-71.2755654,18,"(900000, 950000]",7,"(777000.0, 1099960.0]"
